Carrera;Lugar;Partida;Caballo;Padrillo;Stud;PF (Kg);Jinete;Jinete_Kg;Preparador;Distancia;Índice;Div.
6;11;8;RODELINDO CRACK;EXAGGERATOR;CARREÑO R. ENRIQUE;475;JOSE VILLABLANCA;56;ENRIQUE CARREÑO;16 1/2 cpos.;2;21.7
6;12;7;KING NICOLAS;NEKO BAY;ALONMATE;462;BENJAMIN SANCHO;57;MANUEL VELARDE;19 1/2 cpos.;3;12.1
6;RT;6;AKISI;DANCE BRIGHTLY;FRITZI;-;MIGUEL GUTIERREZ;56;ANGEL JAQUE S.;RETIRADO;2;-
7;1;2;KRAKKEN;SEEKING THE DIA;EL TATA;505;RAFAEL CISTERNAS;57;JULIO ORELLANA;Ganador;25;1.3
7;2;6;VIVIR LA VIDA;FANTASMAGORICO;BUREO;461;MARCO MORALES;57;ROBERTO TOLEDO M.;4 1/4 cpos;24;10.6
7;3;3;TATAN FOREVER;FOREVER THING;QUIMERA;515;BENJAMIN TRONCOSO;53;JOHN PINOCHET;5 3/4 cpos.;20;4.1
7;4;4;PRIETO AZABACHE;CONSTITUTION;BARBASTRO;533;RODOLFO FUENZALIDA;57;ANDRES BERNAL;9 3/4 cpos.;24;9.8
7;5;5;SIN PREJUICIOS;GOOD SAMARITAN (USA);LOS CABEZAS ALVAREZ;445;AXEL ALVAREZ;50;RAUL MONTESINO;10 cpos.;17;8.8
7;6;7;STATE OF GRACE;STATE OF PLAY;CHARITO;529;KEVIN ESPINA;58;CRISTOBAL GONZALEZ M.;10 1/4 cpos.;26;5.3
7;7;1;RUSTY;LOOKIN AT LUCKY;EL GRAN JOSE;510;WILBERT LEON;50;WALESKA PEÑA;20 1/2 cpos.;12;30.3
8;1;14;SACANNE;MENDELSSOHN (USA);STUD EL MIRADOR;432;RAFAEL CISTERNAS;54;JULIO ORELLANA;Ganador;-;19.3
8;2;12;CITLALLI;SEEKING THE DIA;STUD MARENGA;507;RODOLFO FUENZALIDA;54;PATRICIO BAEZA A.;3 3/4 cpos.;-;21.5
8;3;10;BEIJING CRISTAL;ROBERT BRUCE;LOS TOCORNAL;474;HUGO OCHOA;54;RODRIGO SANCHEZ;4 cpos.;-;5.5
8;4;11;RICONDITA;MENDELSSOHN (USA);STUD HARAS DON ALBERTO;447;JAIME MEDINA;54;PATRICIO BAEZA A.;5 cpos.;-;5.6
8;5;8;NEGRA PERLA;ROBERT BRUCE;CHARITO;466;MIGUEL GUTIERREZ;54;CRISTOBAL GONZALEZ M.;6 1/4 cpos.;-;5.1
8;6;5;LA ITALIA MIA;MENDELSSOHN (USA);STUD EL MIRADOR;430;NICOLAS SANTIBAÑEZ;54;JULIO ORELLANA;12 1/2 cpos.;-;9.7
8;7;1;GOOD TEMPTATION;GOOD SAMARITAN (USA);JUJUY;456;NICOLAS RAMIREZ;54;MARIO RABAJILLE D.;14 3/4 cpos.;-;5.8
8;8;3;GONE RITAN;GOOD SAMARITAN (USA);IDENTIC;449;DARIEN CHEUQUE;54;PATRICIO BAEZA A.;16 1/4 cpos.;-;13.9
8;9;7;DADDYS BABY;GRAND DADDY;HARAS MOCITO GUAPO;439;BENJAMIN TRONCOSO;52;JOSE ARAYA B.;16 1/2 cpos.;-;57.9
8;10;13;FERLUISI;SPUN TO RUN (USA);MUNDO FUTURO H.;446;GERARD RODRIGUEZ;54;HERNAN ULLOA;17 cpos.;-;26
8;11;4;AMOR FURTIVO;FLYER;MAMITA LINDA;448;WLADIMIR QUINTEROS;54;RODRIGO SILVA S.;18 cpos.;-;31.3
8;12;15;TIA GUACOLDA;EL FARRERO;MASAIVA;434;JORGE ZUÑIGA;54;OLIVERIO MARTINEZ;18 1/2 cpos.;-;59.4
8;13;2;BLUE FOR EVER;CLASSIC EMPIRE (USA);SUPER SUPER;444;FABIAN MEDINA;51;RODRIGO SANCHEZ;20 cpos.;-;41
8;14;9;LA KIKI BELLA;SEEKING THE DIA;LEGACY;433;RONALD FOURNET;52;JOSE ARAYA B.;22 1/4 cpos.;-;27.4
8;15;6;FRAMING (ARG);SEÑOR CANDY;IDENTIC;490;AXEL ALVAREZ;54;PATRICIO BAEZA A.;37 cpos.;-;22.1
9;1;2;SUBI;PASSION FOR GOLD;AS;470;PIERO REYES P.;57;SERGIO ALVARADO P.;Ganador;12;4.8
9;2;3;MANHATTAN PROJECT;CLOUD COMPUTING;HEMISPHERES;473;GERARD RODRIGUEZ;56;CARLOS MELERO;3 cpos.;11;5.3
9;3;11;CASUAL VISION;VISION AND VERSE;MATTE D. DOMINGO;436;DARIEN CHEUQUE;55;DOMINGO MATTE;3 1/2 cpos.;10;21.1
9;4;4;TU Y YO;GEMOLOGIST;SAPITO;448;BENJAMIN SANCHO;57;MANUEL VELARDE;4 cpos.;12;23.9
9;5;14;DEAR SISTER;MO TOWN;SOBARZO DE G MONICA;440;RICARDO SOLORZA;55;FELIPE GONZALEZ S.;4 3/4 cpos.;10;20.1
9;6;5;SULTAN GUERRERO;VAN NISTELROOY;YAYITA;474;WLADIMIR QUINTEROS;56;RAUL MONTESINO;5 1/2 cpos.;11;32
9;7;6;CROCKED;FLAMEAWAY (CAN);TOTAL G;444;HUGO OCHOA;56;RODRIGO SANCHEZ;5 1/2 cpos.;11;8.6
9;8;9;SEÑOR TRONCOSO;FORWARD MARCH;BERNAL G CLAUDIO;446;RODOLFO FUENZALIDA;57;CLAUDIO BERNAL;6 1/2 cpos.;12;3.1
9;9;10;AMPAWAN;KATMAI;ROGER WELLMANN H.;431;BENJAMIN TRONCOSO;56;JOSE ARAYA B.;7 cpos.;11;23.1
9;10;7;SAMARITAN CAT;GOOD SAMARITAN (USA);JS;456;PEDRO ROBLES;57;SERGIO ALVARADO P.;7 cpos.;12;3.7
9;11;8;ASTRO SOL;GOOD SAMARITAN (USA);LOS MAGUITOS;459;JESUS TORO;55;ALDO PARRA D.;7 3/4 cpos.;10;21.1
9;12;13;COSE DELLA VITA;INTERNATIONAL STAR (USA);ENERGIA;-;RODRIGO COVARRUBIAS;56;SERGIO ALVARADO P.;12 1/4 cpos.;11;54.1
9;13;1;MOLINO DE VIENTO;HINZ;EL AGUILA;468;NICOLAS MOLINA;56;GUILLERMO PERALTA;13 cpos.;11;16.6
9;RT;12;CHARLES ATLAS;GOOD SAMARITAN (USA);COMO LO QUERI;-;BERNARDO LEON;56;JOSE T. ALLENDE;RETIRADO;17;-
10;1;5;TROTSKI;CLASSIC EMPIRE (USA);CRILLON;458;JORGE A. GONZALEZ;57;GUILLERMO AGUIRRE;Ganador;-;2.5
10;2;1;TAP LUCKY;LOOKIN AT LUCKY;FORTUNA;496;GONZALO ULLOA;57;HERNAN ULLOA;pczo.;-;1.9
10;3;9;JANNIK;LOOKIN AT LUCKY;TOBE;475;HUGO OCHOA;57;JULIO ORELLANA;7 1/2 cpos.;-;3.7
104;7;GARFUNKEL;MENDELSSOHN (USA);EL QUIJOTE;529;SEBASTIAN GONZALEZ;57;PATRICIO BAEZA A.;13 cpos.;-;24
10;5;4;MURCOTT;LOOKIN AT LUCKY;BARBASTRO;530;RODOLFO FUENZALIDA;57;ANDRES BERNAL;13 cpos.;-;14
