Carrera,Lugar,Partida,Ejemplar,Padrillo,Stud,Peso_Fisico,Jinete,Peso_Jinete,Preparador,Distancia,Indice,Dividendo
1,12,9,LATEN GOOD,GOOD SAMARITAN (USA),PERALTA P GUILLERMO,452,GIVOVICH GEORGEE,56,GUILLERMO PERALTA,10 1/2 cpos.,6,7.7
1,RT,4,HUACARNECO,MAYAKOVSKY,BARTI,-,JOHAN GONZALEZ,57,FRANCISCO PINOCHET,-,7,-
2,1,10,BELLA SORPRESA,ALFONSO (USA),EL GRAN JOSE,464,LESLY C. GONZALEZ,55,WALESKA PEÑA,Ganador,-,32.5
2,2,2,SERKET,BILZERIAN,RAICES DE CODEGUA,452,FELIPE HENRIQUEZ,55,MARIO APABLAZA,8 1/4 cpos.,-,6.4
2,3,4,LUGA,MENDELSSOHN (USA),MARQUES,431,AGUSTIN VILLAGRA,56,ALDO PARRA D.,8 1/4 cpos.,-,2.1
2,4,6,NUEVA ACTRICE,DANGEROUS MIDGE,FRITZI,413,JOHAN GONZALEZ,55,HECTOR MANRIQUEZ,13 3/4 cpos.,-,64.5
2,5,5,PERFIDE,IVAN DENISOVICH,CHAMO CANDELA,404,ALVARO APABLAZA,55,RICARDO ROJAS,13 3/4 cpos.,-,14.7
2,6,9,GUAGUA FELIZ,NEWFOUNDLAND,AZURRI,417,HUGO OCHOA,55,RODRIGO SANCHEZ,16 3/4 cpos.,-,10.6
2,7,7,RUBIA CLARA,IVAN DENISOVICH,LA VIDA ES BELLA,449,NICOLAS MOLINA,55,FELIPE GONZALEZ S.,18 cpos.,6,6.8
2,8,1,PONTE TU,YA PRIMO,LOS PSIQUICOS,435,BASTIAN SOTO,55,ALEXIS PEREZ,18 3/4 cpos.,6,10.5
2,9,8,YADA,DYLAN THOMAS,AS,415,FABIAN MEDINA,51,ALEXIS PEREZ,19 1/2 cpos.,6,2.9
2,10,3,HILDITA MIA,EL MILAGRITO,HILDITA,462,CARLOS ORTEGA,55,ANDRES BERNAL,23 1/4 cpos.,-,96.5
3,1,4,SISI STAR,MENDELSSOHN (USA),LOS CABEZAS ALVAREZ,421,ROBERTO AVILA,57,RAUL MONTESINO,Ganador,3,2.7
3,2,1,FELIPHON,SHANGHAI BOBBY,BARCELONA,474,HUGO OCHOA,55,ALVARO FERNANDEZ,4 cpos.,1,3.5
3,3,3,VAI BENE COSI,INTERNATIONAL STAR (USA),HECTOR MANRIQUEZ F.,422,RODOLFO S. DORES,57,HECTOR MANRIQUEZ,7 1/4 cpos.,3,2.7
3,4,7,HAMM GOOD,GOOD SAMARITAN (USA),TETITO IGNACIO,474,CARLOS ORTEGA,55,SERGIO MORALES,8 cpos.,1,11
3,5,8,WILLIAM FAULKNER,ERNEST HEMINGWAY,BARTI,482,JOHAN GONZALEZ,55,FRANCISCO PINOCHET,8 1/2 cpos.,1,17.3
3,6,2,VAN DER SAR,BAD DADDY,JANYO,451,JESUS PIMENTEL,55,GABRIEL MELEJ,12 1/4 cpos.,1,22.1
3,7,5,EL KICHAN,EXAGGERATOR,MAMAJELU,438,JOSE VILLABLANCA,55,MANUEL VELARDE,14 cpos.,1,58.3
3,8,6,KING NICOLAS,NEKO BAY,ALONMATE,454,RODRIGO PAINEN,56,MANUEL VELARDE,14 cpos.,2,5.6
3,9,9,TAO PRIZE,PURE PRIZE,SOBARZO DE G MONICA,503,RICARDO SOLORZA,57,FELIPE GONZALEZ S.,27 1/2 cpos.,3,26.1
