Carrera,Hora,Premio,Distancia,Superficie,Numero,Caballo,Peso,Jinete,Preparador,Pozo
9,16:45,TERSICORE,1000,ARENA,10,NIÑO SEXY,57,R. Solorza,Jn. Cavieres A.,"MEGATRIPLE N°3 $ 13.000.000 / MEGA SUPERFECTA $ 1.000.000"
9,16:45,TERSICORE,1000,ARENA,11,PRIMA TOWN,58,V. Bracetti,H. Manriquez F.,"MEGATRIPLE N°3 $ 13.000.000 / MEGA SUPERFECTA $ 1.000.000"
9,16:45,TERSICORE,1000,ARENA,12,UNO CERO,58,L. C. Gonzalez,F. Gonzalez S.,"MEGATRIPLE N°3 $ 13.000.000 / MEGA SUPERFECTA $ 1.000.000"
9,16:45,TERSICORE,1000,ARENA,13,PATMAHO,57,B. Soto,Js. Araya B.,"MEGATRIPLE N°3 $ 13.000.000 / MEGA SUPERFECTA $ 1.000.000"
9,16:45,TERSICORE,1000,ARENA,14,SULTAN GUERRERO,58,R. S. Dores,R. Montesino S.,"MEGATRIPLE N°3 $ 13.000.000 / MEGA SUPERFECTA $ 1.000.000"
9,16:45,TERSICORE,1000,ARENA,15,KOLETTE,55,J. Reyes,R. Montesino S.,"MEGATRIPLE N°3 $ 13.000.000 / MEGA SUPERFECTA $ 1.000.000"
10,17:15,TIA WALDA,1200,PASTO,1,LADY ASHLEY,55,H. Ochoa,R. Sanchez Q.,"MEGA SPF / DOBLE / MEGATRIP N°3 ETP 2"
10,17:15,TIA WALDA,1200,PASTO,2,RAYUELA CORTA,55,A. Varas,A. Padovani E.,"MEGA SPF / DOBLE / MEGATRIP N°3 ETP 2"
10,17:15,TIA WALDA,1200,PASTO,3,GENIE,55,Jr. A. Gonzalez,J. Orellana R.,"MEGA SPF / DOBLE / MEGATRIP N°3 ETP 2"
10,17:15,TIA WALDA,1200,PASTO,4,BARCOLA,55,Seb. Gonzalez,M. Rabajille D.,"MEGA SPF / DOBLE / MEGATRIP N°3 ETP 2"
10,17:15,TIA WALDA,1200,PASTO,5,TE TENGO CARIÑO,55,T. Seith,O. Martinez L.,"MEGA SPF / DOBLE / MEGATRIP N°3 ETP 2"
10,17:15,TIA WALDA,1200,PASTO,6,ZHENG SHI,55,N. Ramirez,M. Rabajille D.,"MEGA SPF / DOBLE / MEGATRIP N°3 ETP 2"
10,17:15,TIA WALDA,1200,PASTO,7,ALISHEBA,55,N. Molina,A. Padovani E.,"MEGA SPF / DOBLE / MEGATRIP N°3 ETP 2"
