reunion,carrera,lugar,partida,ejemplar,padre,stud,peso_fisico,jinete,peso_jinete,preparador,distancia,indice,dividendo
87,16,4,15,DOCTORA MILAGRO,GOOD SAMARITAN,MILLONARIO,484,NELSON ROJAS,53,DOMINGO MATTE,4 1/4 cpos,14,27.9
87,16,5,3,REY ESCOCES,LOOKIN AT LUCKY,RIO QUILIMARI,500,BERNARDO LEON,57,JUAN RODRIGUEZ R.,5 1/2 cpos.,18,16.5
87,16,6,13,CUARTO C,CONSTITUTION,MAR Y SOL,481,SEBASTIAN GONZALEZ,57,PATRICIO BAEZA A.,6 1/4 cpos.,18,3.6
87,16,7,12,IMANOL,GOOD SAMARITAN,EL MERO MERO,457,NICOLAS RAMIREZ,58,JOSE ARAYA B.,7 cpos.,19,16.9
87,16,8,1,TOP KING,CLOUD COMPUTING,BARBASTRO,514,JOAQUIN HERRERA,53,ANDRES BERNAL,9 cpos.,14,4.2
87,16,9,4,SABIONDO,PATTERNRECOGNITION,MAMAJELU,484,LESLY C. GONZALEZ,55,ALDO PARRA D.,10 1/2 cpos.,17,48.9
87,16,10,6,SE PREPARO,SEEKING THE DIA,MARITA,506,JESUS TORO,57,ALDO PARRA D.,10 1/2 cpos.,19,30.4
87,16,11,5,GENIUS,EXAGGERATOR,MONTE OLIMPO,499,RAFAEL CISTERNAS,58,CRISTIAN URBINA,10 1/2 cpos.,19,11.2
87,16,12,11,PATMAHO,GRAND DADDY,BENVIC,522,JOSE CUETO,52,JOSE ARAYA B.,11 3/4 cpos.,14,18
87,16,13,8,SIN PREJUICIOS,GOOD SAMARITAN,LOS CABEZAS ALVAREZ,444,NICOLAS MOLINA,55,RAUL MONTESINO,14 1/4 cpos.,16,13.2
87,16,14,10,FLIGHT OF ICARUS,MIDSHIPMAN,TETITO IGNACIO,462,JOHAN GONZALEZ,54,SERGIO MORALES,28 1/2 cpos.,15,13.7
87,16,15,9,DON'T CRY DADDY,GRAND DADDY,SILVA G. OSCAR E.,541,WILBERT LEON,53,OSCAR SILVA G.,37 1/4 cpos.,14,115.7
87,17,1,7,MUY SOLO AQUI,LOOKIN AT LUCKY,NANOS,474,NICOLAS MOLINA,54,CLAUDIO NAVARRO A.,Ganador,3,16.6
87,17,2,11,PESO DORADO,GOLDENCENTS,MISTER LIMBO,467,WILBERT LEON,54,CLAUDIO NAVARRO A.,1 1/4 cpos.,3,15.3
87,17,3,1,JAVIVALETU,EXAGGERATOR,LLEGO EL TALENTO,444,VICTOR MIRANDA,53,ALEJANDRO PADOVANI E.,3 1/4 cpos.,2,3
87,17,4,9,HAMM GOOD,GOOD SAMARITAN,TETITO IGNACIO,477,JOHAN GONZALEZ,53,SERGIO MORALES,3 1/4 cpos.,35,2.8
87,17,5,3,QUIEN ME PILLO,MIDSHIPMAN,EL MERO MERO,438,BENJAMIN TRONCOSO,57,SERGIO MORALES,5 1/4 cpos.,6,5.9
87,17,6,6,BEHIND THE SUN,PATTERNRECOGNITION,GARAGE JCS,402,RODOLFO FUENZALIDA,57,FELIPE GONZALEZ S.,6 cpos.,6,24.7
87,17,7,12,GRAND CASABLANCA,GRAND DADDY,KDM,504,JESUS PIMENTEL,58,GABRIEL MELEJ,6 cpos.,8,13.8
87,17,8,13,EN CAPILLA,PASSION FOR GOLD,LUIMAR,446,BENJAMIN SANCHO,57,RODRIGO SILVA S.,7 3/4 cpos.,6,7.3
87,17,9,5,EL FELICIDAD,IVAN DENISOVICH,NANAO,432,DAVID SANCHEZ,58,ALDO PARRA D.,8 1/2 cpos.,7,7.2
87,17,10,8,EL BIGOTE,UMAMICHI,SILVA S. RODRIGO,483,NICOLAS RAMIREZ,56,RODRIGO SILVA S.,10 cpos.,5,4.2
