Carrera,Hora,Nombre_Premio,Lugar,Partida,Caballo,Padrillo,Stud,Peso_Final,Jinete,Peso_Jinete,Preparador,Distancia,Indice,Dividendo
14,19:47,FIGURATE TU,1,1,PALACETE,TICKET TO RUN,MARITA,465,JONATHAN A. CASTILLO,57,ALDO PARRA D.,Ganador,15,3
14,19:47,FIGURATE TU,2,3,TRES PRINCIPES,FLAMEAWAY (CAN),MUNDO FUTURO H.,464,NICOLAS MOLINA,56,HERNAN ULLOA,1 1/4 cpos.,14,39.1
14,19:47,FIGURATE TU,3,15,ALTO FOREVER,IVAN DENISOVICH,PALESTINA,482,SEBASTIAN GONZALEZ,55,JOAO CASTILLO L.,2 3/4 cpos.,13,11.2
14,19:47,FIGURATE TU,4,12,FERLUISI,SPUN TO RUN (USA),MUNDO FUTURO H.,446,JOAQUIN HERRERA,56,HERNAN ULLOA,3 1/2 cpos.,14,14.6
14,19:47,FIGURATE TU,5,2,BARBIE DREAMS,LAYMAN,VIEJA POLLA,457,GUSTAVO AROS,57,RODRIGO MUÑOZ,4 1/4 cpos,15,4.1
14,19:47,FIGURATE TU,6,7,EL LEGENDARIO,MO TOWN,LOS KAROL'S,431,AXEL ALVAREZ,56,CLAUDIO BERNAL,5 cpos.,14,24.7
14,19:47,FIGURATE TU,7,10,DOBLE NEGRO,LOOKIN AT LUCKY,ABUELA OCA,526,WILBERT LEON,56,DANIEL CONTRERAS,5 1/4 cpos.,14,6.2
14,19:47,FIGURATE TU,8,6,JE T'AIME,CUPID,TAMARA AGUSTINA,426,GERARD RODRIGUEZ,55,SERGIO MORALES,6 cpos.,13,12.4
14,19:47,FIGURATE TU,9,4,DOTADITA,MENDELSSOHN (USA),LOS NANITOS,399,RODRIGO PAINEN,54,SERGIO MORALES,6 3/4 cpos.,12,17.1
14,19:47,FIGURATE TU,10,13,MATE AMARGO,AHORA II,MI CHICA MAÑOSA,432,BASTIAN SOTO,57,JOSE ARAYA B.,7 1/2 cpos.,15,7.8
