Carrera,Lugar,Partida,Caballo,Distancia (cuerpos),Jinete,Preparador,Dividendo
15,8º,11,JARPITA,"9 1/2 cpos.",BERNARDO LEON,HERNAN ULLOA,1012.4
15,9º,12,QUICOTE,"10 cpos.",IGNACIO VALDIVIA,FELIPE GONZALEZ S.,1114.8
15,10º,14,MECEDOR,"10 1/4 cpos.",WLADIMIR QUINTEROS,ANGEL JAQUE S.,1029.7
15,11º,4,LEON DEL VIENTO,"11 1/4 cpos.",PEDRO ROBLES,JOHN PINOCHET,116.2
15,12º,3,HUACARNECO,"11 3/4 cpos.",JESUS TORO,FRANCISCO PINOCHET,108.5
15,13º,10,ASTRO SOL,"12 1/4 cpos.",TOMAS SEITH,ALDO PARRA D.,1184.6
15,14º,8,FLEDGE,"16 cpos.",DARIEN CHEUQUE,FELIPE GONZALEZ S.,1026
15,RT,6,WALK EASY,-,VICTOR MIRANDA,FELIPE GONZALEZ S.,-
16,1º,5,DE ORO Y COBRE,Ganador,GERARD RODRIGUEZ,HECTOR MANRIQUEZ,144.8
16,2º,3,MAGUIRE,"3/4 cpos.",RODRIGO PAINEN,JOSE ARAYA B.,133.5
16,3º,9,GIORGIO DI CAPRI,"2 cpos",IGNACIO VALDIVIA,FELIPE GONZALEZ S.,143.1
16,4º,13,YO PAGO TODO,"3 3/4 cpos.",WLADIMIR QUINTEROS,FRANCISCO FAUNDEZ LL,149.4
16,5º,10,CIAO JUANITA,"4 3/4 cpos.",MOISES A. DONOSO,OSCAR SILVA G.,1428.8
16,6º,15,ELMITA,"6 cpos.",RODOLFO FUENZALIDA,ANDRES BERNAL,1232.3
