Carrera,Lugar,Numero,Ejemplar,Padrillo,Stud,Peso_Fisico,Jinete,Peso_Jinete,Preparador,Distancia,Indice,Dividendo
18,3,1,MARIA SUREÑA,GOOD SAMARITAN (USA),MORALES O VERONICA,438,GUSTAVO AROS,56,CRISTOBAL GONZALEZ M.,1 cpo.,11,2.5
18,4,10,JAGER MAISTER,INTERNATIONAL STAR (USA),TICO,442,MARCO MORALES,56,JOHN PINOCHET,1 1/4 cpos.,13,5.2
18,5,13,TOP KING,CLOUD COMPUTING,BARBASTRO,515,RODOLFO FUENZALIDA,57,ANDRES BERNAL,1 3/4 cpos.,12,12.1
18,6,2,TOWN OF TREBBI,MO TOWN,EL MERO MERO,483,FELIPE HENRIQUEZ,56,SERGIO MORALES,3 1/2 cpos.,11,12.8
18,7,7,SABIONDO,PATTERNRECOGNITION,MAMAJELU,479,JESUS TORO,57,ALDO PARRA D.,4 3/4 cpos.,12,9.6
18,8,5,LA KIKI BELLA,SEEKING THE DIA,LEGACY,425,BENJAMIN TRONCOSO,56,JOSE ARAYA B.,4 3/4 cpos.,11,60.6
18,9,4,GRACIOSA COZETTE,AWESOME PATRIOT,MOURA,430,BERNARDO LEON,56,PATRICIO BAEZA A.,4 3/4 cpos.,11,18.7
18,10,9,JOHN COOPER,SCAT ROYAL,FOLLI,465,ROBERTO AVILA,56,RAUL MONTESINO,5 1/2 cpos.,11,119.8
18,11,11,JE T'AIME,CUPID,TAMARA AGUSTINA,421,JOHAN GONZALEZ,56,SERGIO MORALES,7 1/2 cpos.,11,22
18,12,14,MI RINCON,ALFONSO (USA),SANCHEZ Q. RODRIGO,467,PIERO REYES P.,57,RODRIGO SANCHEZ,7 3/4 cpos.,12,23.7
18,13,12,CINABRIO,VERRAZANO (USA),ROBLEDO'S,510,NICOLAS MOLINA,56,THEODORE CACHELY,7 3/4 cpos.,11,71.8
18,14,6,TWO FLAGS,SEEKING THE DIA,AS,504,RODRIGO COVARRUBIAS,57,ALEXIS PEREZ,9 1/4 cpos.,12,67.9
18,15,8,BAMBO LUKAS,COMMEMORATIVE,TATA CARLOS,527,BENJAMIN SANCHO,56,DOMINGO MATTE,10 cpos.,11,17.1
19,1,3,BORN TO BE WILD,GOLDENCENTS,PREMIUM,475,CARLOS ORTEGA,58,JOSE M. ALVAREZ D.,Ganador,22,5
19,2,2,MAHER,MENDELSSOHN (USA),PALESTINA,455,SEBASTIAN GONZALEZ,54,HERNAN ULLOA,1 cpo.,18,4.4
19,3,4,EN VECES,FANTASMAGORICO,CHAMO CANDELA,445,AXEL ALVAREZ,56,RICARDO ROJAS,2 1/4 cpos,20,6.9
19,4,5,INDHIRA,WAR COMMAND,LOS SAUCES,458,DAVID SANCHEZ,55,RAUL MONTESINO,3 cpos.,19,11.9
19,5,15,MR NUTS,MR SPEAKER,POR TI PAPA,468,JORGE ZUÑIGA,54,JUAN C. SILVA S.,5 1/2 cpos.,18,6
19,6,11,CRISTALINO,MENDELSSOHN (USA),MARITA,520,BENJAMIN SANCHO,55,ALDO PARRA D.,8 cpos.,19,15.3
19,7,7,BADBOY,BAD DADDY,ALTAMIRA,453,GERARD RODRIGUEZ,57,RICARDO ROJAS,9 cpos.,21,9.8
19,8,13,GRANDE TUZA,ANNUAL REPORT,EL GANCHITO,441,LESLY C. GONZALEZ,57,FELIPE GONZALEZ S.,9 1/2 cpos.,21,10.5
19,9,10,HARRY GO,CUNCO (IRE),LOS LAURELES,481,MARCO MORALES,56,JOHN PINOCHET,10 cpos.,20,15
19,10,6,MISTER MINNION,EXAGGERATOR,BENVIC,456,BASTIAN SOTO,57,JOSE ARAYA B.,10 1/4 cpos.,21,12.4
19,11,14,NO VUELVO MAS,GOOD SAMARITAN (USA),SANTA MALVA,452,GUSTAVO AROS,58,JAIME HIRMAS,10 1/4 cpos.,22,8.7
19,12,8,PAROLACCIA,WAR COMMAND,KDM,492,JUAN MUÑOZ,57,GABRIEL MELEJ,13 1/4 cpos.,21,16.1
19,13,12,PUNTA ITATA,ZAWRAQ (IRE),CHARITO,472,ALVARO APABLAZA,57,CRISTOBAL GONZALEZ M.,13 3/4 cpos.,21,45
19,14,9,GENUINE COMAND,WAR COMMAND,MAMITA QUERIDA,482,DIEGO CARRASCO,55,THEODORE CACHELY,19 cpos.,19,141.7
19,RT,1,ESTARQUI,ZAWRAQ (IRE),CABRITIS,-,JOHAN GONZALEZ,54,RODRIGO MUÑOZ,-,18,-
